,Mus musculus,Rattus norvegicus,Panthera leo,Triturus cristatus,Ateles paniscus,Branta canadensis,Camelus dromedarius,Cebus albifrons,Crocodylus siamensis,Echinops telfairi,Erinaceus europaeus,Hippopotamus amphibius,Lagothrix lagotricha,Lutra lutra,Macaca mulatta,Mellivora capensis,Microtus xanthognathus,Nasua nasua,Tursiops truncatus,Anas platyrhynchos,Camelus bactrianus,Cavia porcellus,Crocuta crocuta,Elephas maximus,Lama guanicoe,Martes foina,Mustela putorius,Paguma larvata,Sminthopsis crassicaudata,Struthio camelus,Tragelaphus strepsiceros,Tapirus terrestris,Callimico goeldii,Colobus guereza,Lama glama,Macropus giganteus,Phalacrocorax carbo,Papio cynocephalus,Rhinolophus ferrumequinum,Squalus acanthias,Vultur gryphus,Panthera onca,Aquila chrysaetos,Ateles geoffroyi,Balaenoptera acutorostrata,Bos taurus,Ceratotherium simum,Crocodylus niloticus,Dasyurus viverrinus,Equus zebra,Homo sapiens,Papio anubis,Saimiri sciureus,Scalopus aquaticus,Ovis aries,Ursus thibetanus,Accipiter gentilis,Ailuropoda melanoleuca,Alligator mississippiensis,Antrozous pallidus,Canis latrans,Cebus capucinus,Chlorocebus aethiops,Chrysocyon brachyurus,Dasypus novemcinctus,Didelphis virginiana,Equus caballus,Lama vicugna,Physeter catodon,Procyon lotor,Oryctolagus cuniculus,Talpa europaea,Ursus maritimus,Aotus trivirgatus,Bradypus tridactylus,Bubalus bubalis,Caretta caretta,Gallus gallus,Columba livia,Helarctos malayanus,Lepus europaeus,Loxodonta africana,Macropus rufus,Meles meles,Myotis velifer,Ornithorhynchus anatinus,Potorous tridactylus,Tadarida brasiliensis,Thunnus thynnus,Vulpes vulpes,Sus scrofa,Rhea americana,Saguinus fuscicollis,Suncus murinus,Trichechus inunguis,Lemur catta,Lynx lynx,Macropus eugenii,Ondatra zibethicus,Phoca vitulina,Pongo pygmaeus,Pteronura brasiliensis,Rangifer tarandus,Rhinoceros unicornis,Aythya affinis,Aythya marila,Myodes glareolus,Peromyscus leucopus,Marmota flaviventris,Peromyscus maniculatus,Tamias minimus,Peromyscus polionotus,Peromyscus gossypinus,Peromyscus eremicus,Peromyscus boylii,Castor fiber,Marmota caligata,Peromyscus truei,Ammotragus lervia,Mammuthus primigenius,Mesoplodon densirostris,Orycteropus afer,Panthera pardus,Balaenoptera omurai,Panthera tigris,Lipotes vexillifer,Delphinapterus leucas,Sousa chinensis,Ochotona princeps,Branta bernicla,Aythya americana,Cygnus atratus,Melanitta nigra,Melanitta perspicillata,Bucephala albeola,Bos indicus,Neophocaena phocaenoides,Kogia sima,Bison bison,Somateria mollissima,Aythya valisineria,Mergus merganser,Bucephala clangula,Mareca americana,Anas carolinensis,Aythya collaris,Anser albifrons,Lophodytes cucullatus,Histrionicus histrionicus,Tadorna tadornoides,Cygnus columbianus,Cygnus buccinator,Mergus serrator,Spatula clypeata,Melanitta fusca,Anas acuta
Mus musculus
Peromyscus polionotus,451524.39024390245,1322321.4285714286,2612500.0,4639041.095890411,2076562.5,6456122.448979592,2239102.564102564,2013636.3636363635,4942968.75,2023369.5652173914,2939233.3333333335,2495000.0,2076562.5,3545535.714285714,2143548.3870967743,3545535.714285714,450202.7027027027,3202419.35483871,1386708.8607594937,6456122.448979592,2239102.564102564,1327777.7777777778,2919852.9411764704,2515540.5405405406,2183125.0,3545535.714285714,3309166.6666666665,3008333.3333333335,3148913.0434782607,5858333.333333333,2425694.4444444445,2300000.0,2013636.3636363635,588053.0973451327,2183125.0,3368604.6511627906,6730851.063829787,2143548.3870967743,3676851.8518518517,5470977.011494253,6327000.0,2612500.0,6327000.0,2013636.3636363635,3319696.9696969697,2360135.135135135,2628571.4285714286,4942968.75,1833544.3037974683,2555555.5555555555,1006818.1818181818,2215000.0,2013636.3636363635,2243902.43902439,2298026.3157894737,3676851.8518518517,6202941.176470588,3423275.8620689656,4519285.714285715,2836428.5714285714,3309166.6666666665,2013636.3636363635,2076562.5,3309166.6666666665,2234375.0,3368604.6511627906,2628571.4285714286,2183125.0,3222058.8235294116,3545535.714285714,1958870.9677419355,2875000.0,3676851.8518518517,2076562.5,2628676.470588235,2239102.564102564,4793181.818181818,6456122.448979592,6456122.448979592,3676851.8518518517,1958870.9677419355,2515540.5405405406,3448809.523809524,3202419.35483871,2919852.9411764704,3894318.1818181816,3621250.0,3309166.6666666665,5759935.897435897,3545535.714285714,2568382.3529411764,6202941.176470588,2013636.3636363635,2836428.5714285714,2659285.714285714,1795945.945945946,2683108.108108108,3532926.8292682925,574396.551724138,3545535.714285714,567948.717948718,3545535.714285714,2360135.135135135,2358974.358974359,6456122.448979592,6456122.448979592,594910.7142857143,2397000.0,2585714.285714286,774975.0,1180434.7826086956
Peromyscus gossypinus,451524.39024390245,1276724.1379310344,2612500.0,4639041.095890411,2076562.5,6456122.448979592,2239102.564102564,2013636.3636363635,4942968.75,2023369.5652173914,2939233.3333333335,2495000.0,2076562.5,3545535.714285714,2143548.3870967743,3545535.714285714,438355.2631578947,3202419.35483871,1386708.8607594937,6456122.448979592,2239102.564102564,1291891.8918918918,2919852.9411764704,2515540.5405405406,2183125.0,3545535.714285714,3309166.6666666665,3008333.3333333335,3148913.0434782607,5858333.333333333,2425694.4444444445,2358974.358974359,2013636.3636363635,588053.0973451327,2183125.0,3368604.6511627906,6730851.063829787,2215000.0,3818269.230769231,5408806.818181818,6327000.0,2612500.0,6327000.0,2013636.3636363635,3319696.9696969697,2360135.135135135,2705882.3529411764,4942968.75,1833544.3037974683,2628571.4285714286,1006818.1818181818,2291379.3103448274,2013636.3636363635,2300000.0,2298026.3157894737,3676851.8518518517,6202941.176470588,3423275.8620689656,4519285.714285715,2836428.5714285714,3309166.6666666665,2013636.3636363635,2076562.5,3309166.6666666665,2291666.6666666665,3368604.6511627906,2628571.4285714286,2183125.0,3222058.8235294116,3545535.714285714,1958870.9677419355,2787878.787878788,3676851.8518518517,2076562.5,2628676.470588235,2239102.564102564,4721641.791044776,6456122.448979592,6456122.448979592,3676851.8518518517,1897656.25,2515540.5405405406,3448809.523809524,3202419.35483871,3008333.3333333335,3894318.1818181816,3621250.0,3202419.35483871,5759935.897435897,3545535.714285714,2568382.3529411764,6202941.176470588,2013636.3636363635,2757638.888888889,2585416.6666666665,1795945.945945946,2683108.108108108,3532926.8292682925,555250.0,3545535.714285714,567948.717948718,3545535.714285714,2360135.135135135,2421052.6315789474,6456122.448979592,6456122.448979592,574396.551724138,400000.0,2468181.8181818184,181981.25,1155319.1489361702,1753000.0
Peromyscus eremicus,462812.5,1322321.4285714286,2545512.8205128205,4703472.222222222,2013636.3636363635,6590625.0,2298026.3157894737,1954411.7647058824,5021428.571428572,2068333.3333333333,3040586.206896552,2495000.0,2013636.3636363635,3423275.8620689656,2076562.5,3423275.8620689656,450202.7027027027,3102343.75,1386708.8607594937,6590625.0,2298026.3157894737,1327777.7777777778,2836428.5714285714,2585416.6666666665,2239102.564102564,3423275.8620689656,3202419.35483871,2919852.9411764704,3368604.6511627906,5968867.924528302,2360135.135135135,2358974.358974359,1954411.7647058824,593303.5714285715,2239102.564102564,3368604.6511627906,6877173.9130434785,2076562.5,3545535.714285714,5534593.023255814,6456122.448979592,2545512.8205128205,6456122.448979592,1954411.7647058824,3222058.8235294116,2298026.3157894737,2705882.3529411764,5021428.571428572,1857051.282051282,2628571.4285714286,977205.8823529412,2143548.3870967743,1954411.7647058824,2139534.88372093,2239102.564102564,3545535.714285714,6327000.0,3309166.6666666665,4652205.882352941,2757638.888888889,3202419.35483871,1954411.7647058824,2013636.3636363635,3202419.35483871,2291666.6666666665,3368604.6511627906,2705882.3529411764,2239102.564102564,3222058.8235294116,3423275.8620689656,1897656.25,2875000.0,3545535.714285714,2013636.3636363635,2708333.3333333335,2183125.0,4942968.75,6590625.0,6590625.0,3545535.714285714,1897656.25,2585416.6666666665,3448809.523809524,3102343.75,2919852.9411764704,3984883.7209302327,3621250.0,3008333.3333333335,5687025.316455696,3423275.8620689656,2495000.0,6327000.0,1954411.7647058824,2919852.9411764704,2737500.0,1748684.2105263157,2612500.0,3532926.8292682925,555250.0,3423275.8620689656,572844.8275862068,3423275.8620689656,2298026.3157894737,2421052.6315789474,6590625.0,6590625.0,616944.4444444445,378212.5,2262500.0,114058.33333333333,1131250.0,569808.3333333334,28106.25
Peromyscus boylii,457098.76543209876,1322321.4285714286,2683108.108108108,4769718.309859155,2143548.3870967743,6456122.448979592,2360135.135135135,2143548.3870967743,5021428.571428572,2115340.909090909,2844419.35483871,2568382.3529411764,2291379.3103448274,3676851.8518518517,2215000.0,3676851.8518518517,450202.7027027027,3309166.6666666665,1369375.0,6456122.448979592,2360135.135135135,1405882.3529411764,3008333.3333333335,2585416.6666666665,2298026.3157894737,3676851.8518518517,3676851.8518518517,3202419.35483871,3218888.888888889,5858333.333333333,2568382.3529411764,2358974.358974359,2143548.3870967743,593303.5714285715,2298026.3157894737,3292045.4545454546,6730851.063829787,2215000.0,3818269.230769231,5599705.882352941,6327000.0,2683108.108108108,6327000.0,2215000.0,3319696.9696969697,2495000.0,2705882.3529411764,5021428.571428572,1857051.282051282,2486486.4864864866,1006818.1818181818,2291379.3103448274,2013636.3636363635,2243902.43902439,2425694.4444444445,3971000.0,6202941.176470588,3676851.8518518517,4584782.608695652,2757638.888888889,3676851.8518518517,2143548.3870967743,2143548.3870967743,3676851.8518518517,2234375.0,3532926.8292682925,2555555.5555555555,2298026.3157894737,3130000.0,3423275.8620689656,1958870.9677419355,2967741.935483871,3971000.0,2215000.0,2708333.3333333335,2360135.135135135,4866923.076923077,6456122.448979592,6456122.448979592,3971000.0,1897656.25,2585416.6666666665,3292045.4545454546,3309166.6666666665,2919852.9411764704,3894318.1818181816,3448809.523809524,3008333.3333333335,5615937.5,3676851.8518518517,2646212.121212121,6202941.176470588,1954411.7647058824,2919852.9411764704,2737500.0,1748684.2105263157,2757638.888888889,3532926.8292682925,555250.0,3676851.8518518517,572844.8275862068,3676851.8518518517,2495000.0,2421052.6315789474,6456122.448979592,6456122.448979592,616944.4444444445,151285.0,2360869.565217391,97764.28571428571,1234090.9090909092,427356.25,22485.0,13770.0
Castor fiber,620779.2207792208,1225641.0256410257,2481875.0,4769718.309859155,1703846.1538461538,6327000.0,2183125.0,1582142.857142857,5102419.354838709,1789903.8461538462,2320447.3684210526,2360135.135135135,1661250.0,2757638.888888889,1748684.2105263157,2757638.888888889,901886.7924528302,2757638.888888889,1404487.1794871795,6456122.448979592,2183125.0,1030952.380952381,2481875.0,2386538.4615384615,2129878.048780488,2757638.888888889,2683108.108108108,2612500.0,3017708.3333333335,6202941.176470588,2079166.6666666667,2000000.0,1703846.1538461538,588053.0973451327,2129878.048780488,3292045.4545454546,6590625.0,1661250.0,2612500.0,5230494.505494505,6327000.0,2481875.0,6083653.846153846,1661250.0,3130000.0,2079166.6666666667,2090909.0909090908,5021428.571428572,1905921.0526315789,2421052.6315789474,922916.6666666666,1703846.1538461538,1661250.0,1916666.6666666667,1984659.0909090908,2919852.9411764704,6202941.176470588,2836428.5714285714,4866923.076923077,2363690.476190476,2683108.108108108,1582142.857142857,1703846.1538461538,2683108.108108108,1986111.111111111,3218888.888888889,2486486.4864864866,2129878.048780488,3043055.5555555555,2919852.9411764704,1840151.5151515151,2190476.1904761903,2919852.9411764704,1661250.0,2179878.048780488,1857978.7234042552,5021428.571428572,6730851.063829787,6730851.063829787,2919852.9411764704,1686805.5555555555,2326875.0,3292045.4545454546,2757638.888888889,2421341.463414634,3725000.0,3532926.8292682925,2612500.0,6327816.901408451,2683108.108108108,2425694.4444444445,6202941.176470588,1661250.0,2421341.463414634,2270121.951219512,1703846.1538461538,2421341.463414634,3292045.4545454546,1111627.9069767443,2836428.5714285714,572844.8275862068,2757638.888888889,2030813.953488372,2000000.0,6327000.0,6327000.0,1225641.0256410257,1405882.3529411764,1509090.9090909092,1327777.7777777778,889285.7142857143,1448484.8484848484,1448484.8484848484,1405882.3529411764,1448484.8484848484
Marmota caligata,678750.0,1551428.5714285714,2421341.463414634,4703472.222222222,2013636.3636363635,6327000.0,2183125.0,1795945.945945946,4652205.882352941,2023369.5652173914,2320447.3684210526,2360135.135135135,1898571.4285714286,3008333.3333333335,2143548.3870967743,3102343.75,1508333.3333333333,2757638.888888889,1369375.0,6327000.0,2183125.0,1422857.142857143,2545512.8205128205,2164534.88372093,2129878.048780488,3102343.75,2919852.9411764704,2481875.0,3218888.888888889,6202941.176470588,2298026.3157894737,2139534.88372093,1954411.7647058824,593303.5714285715,2129878.048780488,3368604.6511627906,6202941.176470588,2076562.5,2836428.5714285714,5408806.818181818,6083653.846153846,2421341.463414634,6083653.846153846,1898571.4285714286,3130000.0,2360135.135135135,2243902.43902439,4652205.882352941,1881168.831168831,2358974.358974359,991791.0447761194,2143548.3870967743,1954411.7647058824,2358974.358974359,2298026.3157894737,2836428.5714285714,6327000.0,2836428.5714285714,4455633.802816901,2481875.0,2757638.888888889,1795945.945945946,2013636.3636363635,2757638.888888889,2078488.3720930233,3448809.523809524,2421052.6315789474,2129878.048780488,2960810.810810811,3008333.3333333335,1897656.25,2358974.358974359,2836428.5714285714,1898571.4285714286,2234375.0,2129878.048780488,4652205.882352941,6083653.846153846,6877173.9130434785,2836428.5714285714,1897656.25,2164534.88372093,3448809.523809524,2836428.5714285714,2757638.888888889,3984883.7209302327,3292045.4545454546,3102343.75,5759935.897435897,2757638.888888889,2728906.25,6083653.846153846,1898571.4285714286,2836428.5714285714,2164534.88372093,1703846.1538461538,2421341.463414634,3368604.6511627906,1939285.7142857143,3102343.75,567948.717948718,3102343.75,2129878.048780488,2139534.88372093,6327000.0,6327000.0,2172000.0,2585714.285714286,559425.0,2360869.565217391,283170.45454545453,2715000.0,2585714.285714286,2360869.565217391,2468181.8181818184,1464705.8823529412
Peromyscus truei,462812.5,1322321.4285714286,2612500.0,4769718.309859155,2076562.5,6590625.0,2425694.4444444445,2076562.5,5102419.354838709,2164534.88372093,2939233.3333333335,2568382.3529411764,2215000.0,3545535.714285714,2143548.3870967743,3545535.714285714,450202.7027027027,3202419.35483871,1386708.8607594937,6590625.0,2425694.4444444445,1365714.2857142857,2919852.9411764704,2659285.714285714,2360135.135135135,3545535.714285714,3545535.714285714,3102343.75,3292045.4545454546,5968867.924528302,2495000.0,2421052.6315789474,2076562.5,593303.5714285715,2360135.135135135,3368604.6511627906,6877173.9130434785,2143548.3870967743,3676851.8518518517,5599705.882352941,6456122.448979592,2612500.0,6456122.448979592,2143548.3870967743,3222058.8235294116,2425694.4444444445,2787878.787878788,5102419.354838709,1857051.282051282,2555555.5555555555,991791.0447761194,2215000.0,1954411.7647058824,2190476.1904761903,2360135.135135135,3818269.230769231,6327000.0,3545535.714285714,4652205.882352941,2683108.108108108,3545535.714285714,2076562.5,2076562.5,3545535.714285714,2291666.6666666665,3621250.0,2628571.4285714286,2360135.135135135,3222058.8235294116,3309166.6666666665,1897656.25,2967741.935483871,3818269.230769231,2143548.3870967743,2792968.75,2298026.3157894737,4942968.75,6590625.0,6590625.0,3818269.230769231,1840151.5151515151,2659285.714285714,3368604.6511627906,3202419.35483871,3008333.3333333335,3984883.7209302327,3532926.8292682925,2919852.9411764704,5615937.5,3545535.714285714,2568382.3529411764,6327000.0,1898571.4285714286,3008333.3333333335,2820454.5454545454,1703846.1538461538,2683108.108108108,3621250.0,555250.0,3545535.714285714,572844.8275862068,3545535.714285714,2425694.4444444445,2486486.4864864866,6590625.0,6590625.0,640673.0769230769,415666.6666666667,2262500.0,167846.42857142858,1206666.6666666667,550000.0,120600.0,186475.0,279712.5,1405882.3529411764,2360869.565217391
Ammotragus lervia,3637653.3950617285,6013263.775510204,8928785.606060605,4036300.342465753,10160342.24137931,5666344.711538462,10523211.607142856,9504836.290322581,4149998.943661972,7186583.536585365,9207810.15625,11785997.0,9504836.290322581,9821664.166666666,9504836.290322581,10160342.24137931,5892998.5,9821664.166666666,4149998.943661972,5666344.711538462,10523211.607142856,7753945.394736842,9504836.290322581,7963511.486486486,10523211.607142856,9821664.166666666,9504836.290322581,9504836.290322581,6405433.152173913,5559432.547169811,24554160.416666668,8928785.606060605,10160342.24137931,2607521.4601769913,10523211.607142856,6269147.340425532,5666344.711538462,8928785.606060605,9504836.290322581,3466469.705882353,5357271.363636363,8928785.606060605,5559432.547169811,10160342.24137931,11785997.0,24554160.416666668,9207810.15625,4209284.642857143,3683124.0625,8666174.264705881,4603905.078125,8928785.606060605,9821664.166666666,7366248.125,42092846.428571425,9821664.166666666,5892998.5,10523211.607142856,4270288.768115942,8418569.285714285,8666174.264705881,9504836.290322581,9504836.290322581,8666174.264705881,7963511.486486486,6013263.775510204,8666174.264705881,10523211.607142856,10160342.24137931,9821664.166666666,9207810.15625,7963511.486486486,9821664.166666666,10160342.24137931,8418569.285714285,14732496.25,4397760.074626866,5456480.092592592,5892998.5,9821664.166666666,8418569.285714285,7753945.394736842,6269147.340425532,9207810.15625,8418569.285714285,6852323.837209302,5892998.5,7963511.486486486,3683124.0625,8928785.606060605,9821664.166666666,5666344.711538462,9207810.15625,9207810.15625,8928785.606060605,7963511.486486486,9207810.15625,6269147.340425532,7015474.404761905,9504836.290322581,2518375.4273504275,9821664.166666666,18415620.3125,8418569.285714285,5666344.711538462,5666344.711538462,7555126.282051282,7015474.404761905,7753945.394736842,6852323.837209302,5892998.5,7186583.536585365,7186583.536585365,7015474.404761905,7555126.282051282,6405433.152173913,7555126.282051282,7366248.125
Mammuthus primigenius,1193269.2307692308,1980319.1489361702,1771250.0,4455921.052631579,2908593.75,6327000.0,2910833.3333333335,2908593.75,4942968.75,1421022.7272727273,2593441.1764705884,2728906.25,3002419.35483871,2214062.5,2908593.75,2285483.870967742,1825000.0,2361666.6666666665,1500684.9315068494,6202941.176470588,2910833.3333333335,2270121.951219512,1968055.5555555555,8971916.666666666,3011206.896551724,2214062.5,2146969.696969697,2024285.7142857143,3292045.4545454546,6083653.846153846,2495000.0,1589375.0,3002419.35483871,853899.0825688073,3011206.896551724,3368604.6511627906,6327000.0,2659285.714285714,2285483.870967742,5348033.707865168,6083653.846153846,1771250.0,6083653.846153846,3002419.35483871,4057407.407407407,2425694.4444444445,1816428.5714285714,4866923.076923077,1881168.831168831,1718243.2432432433,1348913.043478261,2737500.0,3002419.35483871,1271500.0,2425694.4444444445,2146969.696969697,6327000.0,2285483.870967742,4721641.791044776,2024285.7142857143,2285483.870967742,2908593.75,2908593.75,2285483.870967742,1647297.2972972973,3081914.8936170214,1765972.2222222222,3011206.896551724,4057407.407407407,2530357.1428571427,3002419.35483871,1478488.3720930233,2146969.696969697,2820454.5454545454,1846969.696969697,2129878.048780488,4721641.791044776,6456122.448979592,6083653.846153846,2146969.696969697,3002419.35483871,6728937.5,3368604.6511627906,2285483.870967742,2083823.5294117648,4179268.2926829266,3448809.523809524,1816666.6666666667,5759935.897435897,2285483.870967742,2568382.3529411764,6083653.846153846,2820454.5454545454,1864473.6842105263,1710937.5,2164534.88372093,1864473.6842105263,3448809.523809524,2115340.909090909,2146969.696969697,816447.3684210526,2214062.5,2239102.564102564,1869852.9411764706,6327000.0,6327000.0,2386538.4615384615,2386538.4615384615,2115340.909090909,2164534.88372093,1604741.3793103448,2326875.0,2326875.0,2386538.4615384615,2386538.4615384615,2386538.4615384615,2068333.3333333333,2449342.1052631577,7366248.125
Mesoplodon densirostris,1404487.1794871795,2547674.418604651,3651666.6666666665,4286708.860759494,6846875.0,6327000.0,4763043.478260869,5765789.47368421,4721641.791044776,2738750.0,3533870.9677419355,5477500.0,6444117.647058823,4979545.454545454,5477500.0,4979545.454545454,2282291.6666666665,5477500.0,406984.126984127,6456122.448979592,4763043.478260869,3222058.8235294116,4382000.0,3651666.6666666665,4564583.333333333,5216666.666666667,4979545.454545454,4057407.407407407,2547674.418604651,6202941.176470588,5216666.666666667,4564583.333333333,6444117.647058823,1014351.8518518518,4564583.333333333,2608333.3333333335,6456122.448979592,4979545.454545454,4213461.538461538,5949687.5,5968867.924528302,3651666.6666666665,5968867.924528302,7303333.333333333,4415625.0,4763043.478260869,4564583.333333333,4721641.791044776,1460666.6666666667,4382000.0,1956250.0,5216666.666666667,6444117.647058823,2547674.418604651,4213461.538461538,5216666.666666667,6202941.176470588,5477500.0,4455633.802816901,3777586.206896552,4763043.478260869,5477500.0,5216666.666666667,4763043.478260869,3130000.0,2381521.7391304346,4763043.478260869,4564583.333333333,1424444.4444444445,5216666.666666667,5477500.0,3043055.5555555555,5216666.666666667,5765789.47368421,3777586.206896552,3777586.206896552,4866923.076923077,6456122.448979592,6730851.063829787,5216666.666666667,5765789.47368421,3533870.9677419355,2608333.3333333335,4979545.454545454,3319696.9696969697,3445454.5454545454,2434444.4444444445,3912500.0,5990333.333333333,4763043.478260869,4213461.538461538,6202941.176470588,6086111.111111111,3533870.9677419355,4213461.538461538,3130000.0,3777586.206896552,2671951.2195121953,2671951.2195121953,5765789.47368421,969469.0265486726,5216666.666666667,3777586.206896552,4213461.538461538,6327000.0,6327000.0,3130000.0,2960810.810810811,2960810.810810811,2808974.358974359,2434444.4444444445,3043055.5555555555,3043055.5555555555,3043055.5555555555,3043055.5555555555,2808974.358974359,2882894.736842105,2960810.810810811,10160342.24137931,3533870.9677419355
Orycteropus afer,1082267.441860465,1939062.5,1914864.8648648649,4341666.666666667,2737500.0,5454310.344827586,2183125.0,2585416.6666666665,4275000.0,1195625.0,2320447.3684210526,2239102.564102564,2585416.6666666665,2083823.5294117648,2585416.6666666665,2083823.5294117648,1789903.8461538462,1968055.5555555555,1542957.7464788733,5454310.344827586,2183125.0,2115340.909090909,2214062.5,1114634.1463414633,2183125.0,2024285.7142857143,1914864.8648648649,2083823.5294117648,2897000.0,5454310.344827586,2239102.564102564,1513690.4761904762,2585416.6666666665,816447.3684210526,2183125.0,2682407.407407407,5454310.344827586,2585416.6666666665,2083823.5294117648,5348033.707865168,5186065.573770491,1914864.8648648649,5186065.573770491,2515540.5405405406,3319696.9696969697,2183125.0,1630128.2051282052,4333561.643835616,1704117.6470588236,1478488.3720930233,1477380.9523809524,2659285.714285714,2449342.1052631577,1444886.3636363635,2425694.4444444445,2146969.696969697,5361864.406779661,1968055.5555555555,4218000.0,1816666.6666666667,2214062.5,2585416.6666666665,2515540.5405405406,2214062.5,1296808.5106382978,2586607.1428571427,1513690.4761904762,2183125.0,2960810.810810811,2024285.7142857143,2386538.4615384615,1718243.2432432433,2146969.696969697,2585416.6666666665,1486585.3658536586,1940555.5555555555,4721641.791044776,5454310.344827586,5649107.142857143,2146969.696969697,2386538.4615384615,1114634.1463414633,2733018.867924528,2083823.5294117648,1771250.0,3496938.775510204,2897000.0,1728048.780487805,5412951.807228915,2214062.5,2239102.564102564,5361864.406779661,2515540.5405405406,1728048.780487805,1235135.1351351351,1939062.5,2024285.7142857143,2785576.923076923,1980319.1489361702,2146969.696969697,802370.6896551724,2024285.7142857143,2183125.0,1589375.0,5454310.344827586,5454310.344827586,2164534.88372093,2270121.951219512,2115340.909090909,2216071.4285714286,1899489.7959183673,2326875.0,2270121.951219512,2270121.951219512,2386538.4615384615,1756132.075471698,2164534.88372093,2326875.0,8184720.138888889,1062790.6976744186,2960810.810810811
Panthera pardus,1240937.5,2308720.930232558,4455921.052631579,3818269.230769231,6456122.448979592,2816935.4838709678,3676851.8518518517,4584782.608695652,1686904.761904762,2939233.3333333335,2728906.25,3676851.8518518517,2493478.2608695654,3818269.230769231,2606818.1818181816,1909134.6153846155,2730952.380952381,1422727.2727272727,6456122.448979592,2816935.4838709678,2481875.0,2293750.0,1864473.6842105263,2816935.4838709678,2493478.2608695654,2294000.0,2546458.3333333335,3714102.564102564,6590625.0,2568382.3529411764,1885810.810810811,3676851.8518518517,902500.0,2816935.4838709678,2956122.448979592,6456122.448979592,3545535.714285714,2745652.1739130435,5666369.047619048,6327000.0,6202941.176470588,3545535.714285714,3912500.0,2646212.121212121,1993571.4285714286,4652205.882352941,1857051.282051282,1885810.810810811,1551171.875,3676851.8518518517,3309166.6666666665,1938194.4444444445,2728906.25,3018421.052631579,6327000.0,2606818.1818181816,4455633.802816901,2177586.206896552,2606818.1818181816,3676851.8518518517,3676851.8518518517,2606818.1818181816,1561627.9069767443,3017708.3333333335,1938194.4444444445,2816935.4838709678,3319696.9696969697,2606818.1818181816,3545535.714285714,2683653.846153846,3018421.052631579,3676851.8518518517,1767105.2631578948,2425694.4444444445,4942968.75,6456122.448979592,6730851.063829787,3018421.052631579,3423275.8620689656,1816666.6666666667,3017708.3333333335,2389583.3333333335,2255357.1428571427,4393589.743589744,3218888.888888889,2428846.153846154,5759935.897435897,2730952.380952381,3638541.6666666665,6327000.0,3545535.714285714,2435000.0,2361666.6666666665,3008333.3333333335,2651875.0,3017708.3333333335,2112234.0425531915,2867500.0,863260.8695652174,2493478.2608695654,2728906.25,2052205.8823529412,6456122.448979592,6456122.448979592,2481875.0,2545512.8205128205,2481875.0,2421341.463414634,1909134.6153846155,2612500.0,2612500.0,2545512.8205128205,2683108.108108108,2481875.0,2421341.463414634,2612500.0,8928785.606060605,1771250.0,3651666.6666666665,1914864.8648648649
Balaenoptera omurai,1404487.1794871795,2608333.3333333335,3912500.0,4398051.948051948,6846875.0,6877173.9130434785,4979545.454545454,6444117.647058823,5021428.571428572,2960810.810810811,4213461.538461538,6086111.111111111,6444117.647058823,5216666.666666667,5765789.47368421,5765789.47368421,2330851.063829787,5765789.47368421,543461.5384615385,7030000.0,4979545.454545454,3423437.5,4763043.478260869,4564583.333333333,4763043.478260869,5477500.0,5216666.666666667,4382000.0,2738750.0,6590625.0,6086111.111111111,4564583.333333333,6444117.647058823,995909.0909090909,4763043.478260869,2960810.810810811,7030000.0,5216666.666666667,4763043.478260869,5804573.1707317075,6456122.448979592,3912500.0,6456122.448979592,7303333.333333333,5477500.0,4763043.478260869,5021428.571428572,1480405.4054054054,4564583.333333333,2066981.1320754718,5477500.0,6444117.647058823,2882894.736842105,4979545.454545454,5477500.0,6456122.448979592,5765789.47368421,4652205.882352941,4763043.478260869,5216666.666666667,6086111.111111111,5477500.0,5216666.666666667,3423437.5,2608333.3333333335,4763043.478260869,4763043.478260869,2943750.0,6086111.111111111,6846875.0,3319696.9696969697,5477500.0,5765789.47368421,4382000.0,3912500.0,5186065.573770491,7030000.0,7189772.7272727275,5477500.0,6846875.0,4382000.0,2960810.810810811,5765789.47368421,3912500.0,3667741.935483871,2671951.2195121953,4213461.538461538,5990333.333333333,5477500.0,4763043.478260869,6730851.063829787,6086111.111111111,3651666.6666666665,4763043.478260869,3423437.5,4057407.407407407,3043055.5555555555,2671951.2195121953,6086111.111111111,960964.9122807018,5477500.0,4213461.538461538,4382000.0,6877173.9130434785,6877173.9130434785,3130000.0,3222058.8235294116,3222058.8235294116,3043055.5555555555,2381521.7391304346,3319696.9696969697,3319696.9696969697,3222058.8235294116,3319696.9696969697,3130000.0,3130000.0,3222058.8235294116,11785997.0,4057407.407407407,4415625.0,3319696.9696969697,3912500.0
